Nama_Makanan,Produsen,Porsi,Energi (kkal),Protein (g),Karbohidrat (g),Lemak (g),Gula (g),Natrium (mg),Serat (g),Persentase_AKG_Energi,Persentase_AKG_Protein,Persentase_AKG_Karbohidrat,Persentase_AKG_Lemak,Persentase_AKG_Natrium,Lemak_Jenuh,Natrium,Protein,Karbohidrat_Total,Energi,Lemak_Total,Serat_Pangan,% AKG Energi,% AKG Protein,% AKG Lemak,% AKG Karbohidrat,% AKG Gula
Frozen food Puff Pastry Sheet,Tidak Diketahui,3.0,200.0,3.0,18.0,13.0,0.0,0.0,0.0,9.3,5.0,5.54,19.4,0.0,0.0,0.0,0.0,6.0,10.0,20.0,0.0,9.30232558139535,5.0,19.402985074626866,5.538461538461538,0.0
Cheetos Puffs,PT. Frito Lay,0.9,160.0,2.0,16.0,10.0,0.9,0.0,0.9,7.44,3.33,4.92,14.93,0.0,0.0,0.0,0.0,5.0,8.0,15.0,0.0,7.441860465116279,3.3333333333333335,14.925373134328357,4.923076923076923,1.8000000000000003
Promina puff rasa blueberry,Tidak Diketahui,1.0,80.0,1.0,10.0,3.0,0.0,0.0,0.0,3.72,1.67,3.08,4.48,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,3.7209302325581395,1.6666666666666667,4.477611940298507,3.076923076923077,0.0
Floridina Orange Pulp & Coco Bitz,PT. Tirta Alam Segar,0.0,90.0,0.0,21.0,0.0,15.0,25.0,0.0,4.19,0.0,6.46,0.0,1.67,0.0,2.0,0.0,7.0,5.0,0.0,0.0,4.186046511627907,0.0,0.0,6.461538461538462,30.0
Minute Maid Pulpy rasa jambu,PT. Coca-cola bottling indonesia,0.0,0.0,0.0,23.0,0.0,15.0,20.0,0.0,4.19,0.0,7.08,0.0,1.33,0.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,7.076923076923077,30.0
Minute Maid Pulpy rasa jeruk,PT. Coca-cola bottling indonesia,0.0,130.0,0.0,34.0,0.0,15.0,45.0,0.0,6.05,0.0,10.46,0.0,3.0,0.0,3.0,0.0,11.0,7.0,0.0,0.0,6.046511627906977,0.0,0.0,10.461538461538462,30.0
Minute Maid Pulpy rasa anggur dengan nata de coco,PT. Coca-cola bottling indonesia,0.0,0.0,0.0,28.0,0.0,15.0,10.0,0.0,5.12,0.0,8.62,0.0,0.67,0.0,1.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,8.615384615384615,30.0
kentang rebus,Tidak Diketahui,2.5,76.0,1.37,17.72,0.14,5.74,27.0,2.5,3.53,2.28,5.45,0.21,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.5348837209302326,2.283333333333333,0.20895522388059704,5.452307692307691,11.48
Ikan Cakalang, segar,1.8,1.2,65.25,19.6,5.5,0.7,0.0,66.0,0.0,4.98,32.67,1.69,1.04,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.05581395348837209,108.74999999999999,8.208955223880597,6.0307692307692315,1.4
Jawara cabai tabur jambal,Tidak Diketahui,0.0,10.0,0.0,2.0,0.0,0.0,150.0,0.0,0.47,0.0,0.62,0.0,10.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.46511627906976744,0.0,0.0,0.6153846153846154,0.0
Jawara cabai tabur bawang goreng,Tidak Diketahui,0.0,10.0,0.0,2.0,0.0,0.0,150.0,0.0,0.47,0.0,0.62,0.0,10.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.46511627906976744,0.0,0.0,0.6153846153846154,0.0
Red Bull,Tidak Diketahui,0.0,112.0,0.0,28.0,0.0,0.0,0.0,0.0,5.21,0.0,8.62,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,5.209302325581396,0.0,0.0,8.615384615384615,0.0
